1;Movie;The Grand Seduction;Don McKellar;Brendan Gleeson, Taylor Kitsch, Gordon Pinsent;Canada;March 30, 2021;2014;;113 min;Comedy, Drama;A small fishing village must procure a local doctor to secure a lucrative business contract. When unlikely candidate and big city doctor Paul Lewis lands in their lap for a trial residence, the townsfolk rally together to charm him into staying. As the doctor's time in the village winds to a close, acting mayor Murray French has no choice but to pull out all the stops.
2;Movie;Take Care Good Night;Girish Joshi;Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar;India;March 30, 2021;2018;13+;110 min;Drama, International;A Metro Family decides to fight a Cyber Criminal threatening their stability and pride.
3;Movie;Secrets of Deception;Josh Webber;Tom Sizemore, Lorenzo Lamas, Robert LaSardo, Richard Jones, Yancey Arias, Noel Gugliemi;United States;March 30, 2021;2017;;74 min;Action, Drama, Suspense;After a man discovers his wife is cheating on him with a neighborhood kid he goes down a furious path of self-destruction
4;Movie;Pink: Staying True;Sonia Anderson;Interviews with: Pink, Adele, Beyoncé, Britney Spears, Christina Aguilera, more!;United States;March 30, 2021;2014;;69 min;Documentary;"Pink breaks the mold once again, bringing her career to a new level in 2013 with a world tour that entertains unlike ever before! Get inside access to ""the girl who got the party started"" with exclusive interviews and rare live performances."
5;Movie;Monster Maker;Giles Foster;Harry Dean Stanton, Kieran O'Brien, George Costigan, Amanda Dickinson, Alison Steadman, Grant Bardsley, Bill Moody, Matthew Scurfield;United Kingdom;March 30, 2021;1989;;45 min;Drama, Fantasy;Teenage Matt Banting wants to work with a famous but eccentric creature/special effects man named Chancey Bellows. He gets more than he bargained for when one of the creatures, the giant dragon-like Ultragorgon, takes Matt under his wing. Matt is forced to confront his inner monsters while working out his issues with his father.
6;Movie;Living With Dinosaurs;Paul Weiland;Gregory Chisholm, Juliet Stevenson, Brian Henson, Michael Maloney;United Kingdom;March 30, 2021;1989;;52 min;Fantasy, Kids;The story unfolds in a an English seaside town, where Dom, an only child, faces the imminent arrival of a new sibling, and subsequently diminished attention from his mother. A stuffed toy dinosaur named Dog is Dom's only confidant – Dom relies on his friend heavily for support as he confronts his problems, accepts the changes in his life, and understands the love he has for his parents.
7;Movie;Hired Gun;Fran Strine;Alice Cooper, Liberty DeVitto, Ray Parker Jr., David Foster, Jason Hook, Steve Vai, Phil X, Rudy Sarzo, Jay Graydon, Rob Zombie, Kenny Aronoff, Steve Lukather, Justin Derrico, Eva Gardner, John 5, Eric Singer, Derek St. Holmes, Paul Bushnell, Jason Newsted, Glen Sobel, Nita Strauss, Chris Johnson;United States;March 30, 2021;2017;;98 min;Documentary, Special Interest;"They are the ""First Call, A-list"" musicians, just 20 feet from stardom, yet rarely receive credit for their work. The 'hired gun' community lives and breathes music, and for the first time, share their incredible stories detailing the highs and lows of touring life, the demands of session schedules, and the dedication required to play next to some of the world's most iconic musicians."
8;Movie;Grease Live!;Thomas Kail, Alex Rudzinski;Julianne Hough, Aaron Tveit, Vanessa Hudgens, Keke Palmer, Carly Rae Jepson, Mario Lopez, Carlos PenaVega, Kether Donohue, Jordan Fisher, David Del Rio, Andrew Call, Wendell Pierce, Boyz II Men, Jessie J, Ana Gasteyer, Didi Conn;United States;March 30, 2021;2016;;131 min;Comedy;This honest, uncompromising comedy chronicles the war stories and sexual misadventures of a tight circle of lovers and friends fighting to get their acts together, for better or worse.
9;Movie;Global Meltdown;Daniel Gilboy;Michael Paré, Leanne Khol Young, Patrick J. MacEachern;Canada;March 30, 2021;2017;;87 min;Action, Science Fiction, Suspense;A helicopter pilot and an environmental scientist lead a exodus of survivors in a search for a safe haven after a catastrophic tectonic event causes the crust of the earth to break apart.
10;Movie;David's Mother;Robert Allan Ackerman;Kirstie Alley, Sam Waterston, Stockard Channing;United States;April 1, 2021;1994;;92 min;Drama;"Sally Goodson is a devoted mother to her autistic son David. Abandoned by her husband, Sally has managed to keep her son out of ""the System"", until a social worker comes along."
